"","significant level","lower bound","upper bound"
"1",0.01,3.32526434674236,6.40273565325764
"2",0.02,3.48959156143543,6.23840843856457
"3",0.03,3.58998994214461,6.13801005785539
"4",0.04,3.66359410823401,6.06440589176599
"5",0.05,3.7222630011066,6.0057369988934
"6",0.06,3.77135331327795,5.95664668672205
"7",0.07,3.81375558713812,5.91424441286188
"8",0.08,3.85121247576368,5.87678752423632
"9",0.09,3.88485800161204,5.84314199838796
"10",0.1,3.91547267962042,5.81252732037958
